,smiles,IC50,pchembl,type,ID
1346,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc5c(C)nn(C)c5c4,1250.0,5.9,IC50,CHEMBL2172000
1348,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc5c(C)nnc(C)c5c4,1750.0,5.76,IC50,CHEMBL2172001
1349,COc1ccc(nc1OC)N2CCN([C@H](C)C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N,1100.0,5.96,IC50,CHEMBL2172002
1350,COc1cc(ccc1C2CC2)N3CCN([C@H](C)C3)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,1370.0,5.86,IC50,CHEMBL2172003
1351,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc5OCOc5c4,1150.0,5.94,IC50,CHEMBL2172004
1352,COc1ccc(cc1OC)N2CCN([C@H](C)C2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N,1450.0,5.84,IC50,CHEMBL2172005
1353,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NCC#N)c3ccccc3,1220.0,5.91,IC50,CHEMBL2172006
1354,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccccc4,1300.0,5.89,IC50,CHEMBL2172007
1355,CC1(C)CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc(cc4)S(=O)(=O)C,3750.0,5.43,IC50,CHEMBL2172126
424,O=C(NCCc1ccc(cc1)N2CCCC2)c3cnc(nc3NC4CCCCC4)C#N,2.3,8.64,IC50,CHEMBL217930
415,CC(C)(C)CNc1nc(ncc1C(=O)NCCc2ccc(OCCn3ccnc3)cc2)C#N,0.9,9.05,IC50,CHEMBL218007
426,COc1ccc(CCNC(=O)c2cnc(nc2NC3CCCCC3)C#N)cc1,0.7,9.15,IC50,CHEMBL218024
